,10dt_mean,10dt_std,20dt_mean,20dt_std,25dt_mean,25dt_std,50dt_mean,50dt_std,100dt_mean,100dt_std
OutPredict,0.5879544309554049,0.18386237502284733,0.4986831327484067,0.12451968272087682,0.5081681467092497,0.20404115246598659,0.7543697129001397,0.26610464307720844,0.6948264085733153,0.24304345144915893
Inferelator,0.9526899400253181,0.08669045002734624,0.9368951546433966,0.12740307529953934,0.8994652823199101,0.19451923180722,0.9746900614348813,0.055364239660064485,0.8460844895145702,0.21827712769460603
GRNBoost,0.7240418131075401,0.2308700638608098,0.6436382452094411,0.2043225613787529,0.5397434756648773,0.1523014360086133,0.5567703468016683,0.15581243212470097,0.5454404223613272,0.1658574868086397
Genie3,0.6918642204685085,0.2020289335053895,0.6445211601980796,0.2266053013851932,0.5479032763692302,0.19592582035115186,0.582814664327703,0.14756874721809024,0.6167395460285402,0.20768645978853717
GRISLI,0.3832618532343826,0.165022971227687,0.3358142849015237,0.1358001599294103,0.35106955739480616,0.2488341767654148,0.2664934325299561,0.12562124775952974,0.28789318548700893,0.16186825743655647
GRNVBEM,0.27730241978146825,0.11366278299018173,0.3126218469413453,0.26702018685056067,0.24447868829983235,0.11761081531442814,0.2288435059958533,0.15990696912664215,0.26527682155660737,0.18851353764494333
LEAP,0.6947788374545818,0.2450781044124526,0.6021759417022698,0.23128842373656577,0.5539137623313238,0.19585689805566286,0.5407639996289971,0.15424451967100694,0.5417943639319635,0.16730821928796827
PIDC,0.5811947405924031,0.14487868083371283,0.6501779966154654,0.15589736661065406,0.5766584597374667,0.1730147711532782,0.518919192081811,0.14752553168991153,0.551724297745799,0.3087466991616816
PPCOR,0.31906920639963854,0.0784896100113995,0.3573139375377518,0.1267475867895529,0.25658089433477665,0.13673424331279418,0.3234896978675981,0.15996557717094848,0.16634487250885371,0.1289331512982369
SCODE,0.24558616477068487,0.10391684437757245,0.29927346966643464,0.17740672543231334,0.24358778556691715,0.11103226187323058,0.24924490946079847,0.16170082287390455,0.3048235548181991,0.19914550154858404
SCRIBE,0.553079752453462,0.21889350863812687,0.5679913302212183,0.20363223492526203,0.5283453641782848,0.23236848022257497,0.3202082053916444,0.14204590176109047,0.2725053646296463,0.16291465728758936
Ensemble_LR,1.1110498490555987,0.4468478066581711,0.9939508996323594,0.20774683733231225,0.9184374882254908,0.3441373114036657,1.330583574885098,0.5590284767876919,1.2465401980310955,0.43845490582062696
Ensemble_NB,0.8300333917136979,0.22855354406734035,0.7121724350157075,0.16673651984692472,0.654884739247533,0.147481532583205,0.6743118933764923,0.15523543594569314,0.6808414237390524,0.2607243902299777
Ensemble_SGD,0.2459096844932589,0.06316245848694751,0.39658083465374766,0.4713934221508103,0.2031565585501694,0.10873894889887899,0.20318718366492067,0.14438375002856946,0.2564028495077125,0.18771603845947943
Ensemble_SVM,0.21255027669702264,0.08854783797675683,0.28952882588313256,0.14314563501915156,0.25707291293212153,0.09453893783192541,0.2518870571594518,0.14587849202831105,0.25511778666099727,0.2208219272759496
Ensemble_KNN,0.5862588090521212,0.24447195512717662,0.4479411757983368,0.22091826153769145,0.5108206726936071,0.19509616536158067,0.39065639042055456,0.3384388386243797,0.5677130615482088,0.40742285333547207
Ensemble_RF,1.1154981788579956,0.5605633301396521,0.8957903216197348,0.20577967986629989,0.9902425313213845,0.2934573326451716,1.7307719540827904,1.027902043911562,1.086562283109314,0.37639073789993177
Ensemble_AB,1.116444280105327,0.4998076007929429,1.1285864319049417,0.7647316349819863,0.7254673627887065,0.2598138975781816,1.272723432900571,0.6492656113877548,0.9527254415887769,0.4624587069581257
Ensemble_XGB,0.652395688391914,0.3416888137877747,0.5635634067093982,0.15972306518930243,0.6128122809735952,0.2760051595776117,1.3489292988020183,0.8599637922169702,0.661262470241225,0.24429970988893443
best_train_score,0.877926371629,0.23338174051013139,0.8817192740852503,0.19732674137196624,0.883634860351566,0.23928429051299455,1.0,0.0,0.8136339494245186,0.22151197771867373
best_test_score,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Ensemble_AVG,0.9506029908705791,0.4225283628356948,0.8760250773752812,0.5151145984707688,0.7777025712321957,0.39460835150775503,0.6935599675514913,0.16462766083868377,0.6129186447823817,0.21563798915317892
